type,quality,fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol
white,7,6.9,0.21,0.33,3.25,0.41,12.6
white,7,7.5,0.17,0.32,3.21,0.44,11.5
white,6,7.1,0.26,0.29,3.04,0.42,9.2
white,6,6,0.34,0.66,3.14,0.5,8.8
white,7,8.6,0.265,0.36,2.95,0.36,11.4
white,4,9.8,0.36,0.46,2.89,0.3,10.1
white,6,6,0.34,0.66,3.14,0.5,8.8
white,5,7.4,0.25,0.37,3,0.44,9.1
white,5,7.1,0.12,0.32,3.4,0.41,9.4
white,5,6,0.21,0.24,3.34,0.39,9.4
white,5,7.5,0.305,0.4,2.99,0.46,9
white,5,7.4,0.25,0.37,3,0.44,9.1
white,6,7.3,0.13,0.32,3.2,0.35,9.2
white,5,7.1,0.12,0.32,3.4,0.41,9.4
white,6,7.1,0.23,0.35,3.16,0.59,9.1
white,6,7.1,0.23,0.35,3.16,0.59,9.1
white,5,6.9,0.33,0.28,3.27,0.6,10.3
white,6,6.5,0.17,0.54,2.89,0.39,8.8
white,5,7.2,0.27,0.46,3.04,0.52,8.9
white,5,7.2,0.31,0.5,3.01,0.47,9.2
white,5,6.7,0.41,0.34,3.22,0.51,9.1
white,5,6.7,0.41,0.34,3.22,0.51,9.1
white,4,5.5,0.485,0,3.63,0.4,9.7
white,6,6,0.31,0.24,3.31,0.44,11.3
white,6,7,0.14,0.4,3.19,0.42,11.8
white,5,7.2,0.31,0.5,3.01,0.47,9.2
white,5,7.3,0.32,0.48,3.04,0.5,9.2
white,5,5.9,0.36,0.04,3.22,0.51,10.2
white,5,7.8,0.24,0.32,3.01,0.54,8.8
white,5,7.4,0.16,0.31,3.29,0.34,9.7
white,6,6.9,0.19,0.28,3.29,0.36,9.1
white,6,6.4,0.13,0.47,3.21,0.36,9.8
white,6,6.7,0.19,0.36,3.27,0.48,11
white,5,7.4,0.39,0.23,3.14,0.42,10.5
white,7,6.5,0.24,0.32,3.45,0.54,9.7
white,7,6.1,0.3,0.56,3.3,0.57,10.9
white,6,6.1,0.3,0.56,3.31,0.57,10.9
white,5,5.7,0.26,0.25,3.39,0.37,10.6
white,7,6.5,0.24,0.32,3.45,0.54,9.7
white,5,6.5,0.425,0.4,3.23,0.57,9
white,5,6.6,0.24,0.27,3.24,0.51,9.2
white,5,6.8,0.27,0.22,3.19,0.52,8.9
white,5,6.7,0.27,0.31,3.26,0.56,9.6
white,6,8.2,0.23,0.4,3.12,0.38,10.7
white,5,7.1,0.37,0.67,3.16,0.44,8.7
white,7,6.8,0.19,0.36,3.15,0.54,10.8
white,6,8.1,0.28,0.39,3.23,0.52,11.8
white,5,6.3,0.31,0.34,3.3,0.43,10.2
white,5,7.1,0.37,0.67,3.16,0.44,8.7
white,6,7.9,0.21,0.4,3.21,0.54,10.8
white,6,8.5,0.21,0.41,3.18,0.53,9.7
white,6,8.1,0.2,0.4,3.12,0.54,11.2
white,6,6.3,0.255,0.37,3,0.39,10.9
white,6,5.6,0.16,0.27,3.28,0.37,10.1
white,4,6.4,0.595,0.14,3.38,0.36,9
white,7,6.3,0.34,0.33,3.38,0.58,12
white,6,6.9,0.25,0.3,2.99,0.38,9.4
white,7,7.9,0.22,0.38,3.12,0.32,11.5
white,6,7.6,0.18,0.46,3.14,0.43,9.9
white,6,6.9,0.25,0.3,2.99,0.38,9.4
white,5,7.2,0.18,0.41,3.14,0.45,10.4
white,6,8.2,0.23,0.4,3.06,0.84,9.7
white,6,7.4,0.24,0.42,2.89,0.42,8.9
white,6,7.4,0.24,0.42,2.89,0.42,8.9
white,7,6.1,0.32,0.24,3.29,0.42,12.4
white,8,5.2,0.44,0.04,3.36,0.33,12.1
white,8,5.2,0.44,0.04,3.36,0.33,12.1
white,7,6.1,0.32,0.24,3.29,0.42,12.4
white,5,6.4,0.22,0.56,2.98,0.4,9.1
white,5,6.3,0.36,0.3,3.28,0.39,10.6
white,6,7.4,0.24,0.42,2.89,0.42,8.9
white,5,6.7,0.24,0.35,3.15,0.5,9.5
white,5,7,0.23,0.36,3.16,0.49,9.8
white,6,8.4,0.27,0.46,3.14,0.59,9.6
white,7,6.7,0.46,0.18,3.08,0.44,12.6
white,5,7.5,0.29,0.31,3.08,0.54,9.3
white,5,9.8,0.42,0.48,2.87,0.29,10
white,6,7.1,0.3,0.46,3.12,0.54,12.7
white,6,7.9,0.19,0.45,3.13,0.39,11
white,4,7.6,0.48,0.37,3.03,0.39,11.4
white,7,6.3,0.22,0.43,3.35,0.33,11.5
white,5,7.5,0.27,0.31,3.09,0.64,10.2
white,6,6.9,0.23,0.4,3.11,0.27,11.4
white,4,7.2,0.32,0.47,3.03,0.41,12.6
white,5,5.9,0.23,0.3,3.28,0.39,9.4
white,4,6,0.67,0.07,3.11,0.35,8.7
white,6,6.4,0.25,0.32,3.19,0.68,9.2
white,6,6.4,0.33,0.31,3.19,0.66,9.3
white,5,7.1,0.34,0.15,3.09,0.43,9.2
white,5,6.8,0.28,0.4,2.93,0.5,8.7
white,6,6.9,0.27,0.4,3.18,0.58,9.6
white,5,6.8,0.26,0.56,3.02,0.63,9.3
white,5,6.8,0.29,0.56,3.02,0.63,9.3
white,6,6.7,0.24,0.41,3.12,0.61,9.9
white,5,5.9,0.3,0.23,3.15,0.5,11
white,8,6.8,0.53,0.35,3.26,0.57,12.7
white,4,6.5,0.28,0.28,3.09,0.54,8.9
white,6,6.6,0.28,0.28,3.09,0.55,8.9
white,5,6.8,0.28,0.4,2.93,0.5,8.7
white,6,6.8,0.28,0.36,3.02,0.37,11.4
white,5,6.6,0.15,0.34,3.36,0.42,9.6
white,5,6.4,0.29,0.44,3.02,0.41,9.1
white,6,6.4,0.3,0.45,3.02,0.39,9.1
white,5,6.4,0.29,0.44,3.01,0.38,9.1
white,5,6.8,0.26,0.24,3.13,0.47,8.9
white,5,7.1,0.32,0.24,3.1,0.49,8.8
white,5,6.8,0.26,0.24,3.13,0.47,8.9
white,5,6.8,0.27,0.26,3.15,0.5,9.3
white,5,7.1,0.32,0.24,3.1,0.49,8.8
white,5,6.9,0.54,0.32,3.2,0.5,9.6
white,6,6.8,0.26,0.34,3.33,0.53,12
white,4,5.8,0.28,0.35,3.28,0.5,10.2
white,5,6.4,0.21,0.5,3.15,0.43,8.8
white,5,7,0.16,0.32,3.21,0.34,9.2
white,4,10.2,0.44,0.88,2.99,0.51,9.9
white,5,6.8,0.57,0.29,3.32,0.74,10.2
white,6,6.1,0.4,0.31,3.22,0.77,9.5
white,5,5.6,0.245,0.25,3.31,0.34,10.5
white,7,6.8,0.18,0.38,3.32,0.59,11.2
white,5,7,0.16,0.32,3.21,0.34,9.2
white,6,6.7,0.13,0.29,3.44,0.37,9.7
white,7,6.2,0.25,0.25,3.3,0.44,11.1
white,5,5.8,0.26,0.24,3.31,0.38,9.4
white,5,7.5,0.27,0.36,3.03,0.33,11
white,5,5.8,0.26,0.24,3.31,0.38,9.4
white,5,5.7,0.28,0.24,3.31,0.44,9.4
white,5,7.5,0.23,0.36,3.04,0.32,11
white,5,7.5,0.27,0.36,3.03,0.33,11
white,6,7.2,0.685,0.21,3,0.55,9.1
white,7,6.2,0.25,0.25,3.3,0.44,11.1
white,6,6.5,0.19,0.3,3.42,0.39,9.1
white,6,6.3,0.495,0.22,3.39,0.54,10.4
white,5,7.1,0.24,0.41,3.32,0.39,8.7
white,6,6.4,0.17,0.32,3.5,0.5,9.7
white,6,7.1,0.25,0.32,3.17,0.52,9.1
white,6,6.4,0.17,0.32,3.5,0.5,9.7
white,5,7.1,0.24,0.41,3.32,0.39,8.7
white,4,6.8,0.64,0.08,3.37,0.46,8.9
white,6,8.3,0.28,0.4,3.34,0.51,9.6
white,6,8.2,0.27,0.39,3.31,0.51,9.5
white,6,7.2,0.23,0.38,3.09,0.44,9
white,6,7.2,0.23,0.38,3.09,0.44,9
white,6,7.2,0.23,0.38,3.09,0.44,9
white,6,7.2,0.23,0.38,3.09,0.44,9
white,6,6.8,0.52,0.32,3.27,0.5,9.6
white,7,7,0.26,0.59,3.34,0.41,11.1
white,6,6.2,0.25,0.21,3.48,0.64,9.6
white,5,7.3,0.32,0.23,3.2,0.46,8.7
white,5,7.7,0.31,0.26,3.13,0.5,10.4
white,7,7.1,0.21,0.37,3.15,0.38,11.4
white,6,6.8,0.24,0.34,3.3,0.58,9.7
white,5,6.9,0.4,0.56,3.14,0.46,8.7
white,6,6.1,0.18,0.36,3.37,0.79,11.3
white,7,6.8,0.21,0.27,3.16,0.61,12.6
white,7,5.8,0.2,0.27,3.25,0.36,10.9
white,7,5.6,0.19,0.26,3.25,0.37,10.9
white,5,6.1,0.41,0.14,3.38,0.45,10
white,4,5.9,0.21,0.28,3.72,0.7,10
white,3,8.5,0.26,0.21,3.02,0.5,9.8
white,5,6.9,0.4,0.56,3.14,0.46,8.7
white,3,5.8,0.24,0.44,3.53,0.43,11.7
white,6,5.8,0.24,0.39,3.21,0.52,9.3
white,8,6.7,0.26,0.39,3.32,0.58,9.6
white,7,6.3,0.35,0.3,3.27,0.41,11
white,7,6.3,0.35,0.3,3.27,0.41,11
white,6,6.4,0.23,0.39,3.32,0.5,11.8
white,4,5.8,0.36,0.38,3.28,0.34,11.4
white,6,6.9,0.115,0.35,3.32,0.42,10.2
white,5,6.9,0.29,0.4,2.93,0.47,8.9
white,5,6.9,0.28,0.4,3.17,0.33,10.2
white,6,7.2,0.29,0.4,3.08,0.59,9.6
white,6,6.2,0.24,0.35,3.1,0.48,10.6
white,5,6.9,0.29,0.4,2.93,0.47,8.9
white,6,6.9,0.32,0.26,3.25,0.51,9.2
white,5,5.3,0.58,0.07,3.34,0.57,9.7
white,6,5.3,0.585,0.07,3.34,0.57,9.7
white,6,5.4,0.59,0.07,3.34,0.57,9.7
white,6,6.9,0.32,0.26,3.25,0.51,9.2
white,5,5.2,0.6,0.07,3.33,0.58,9.7
white,5,5.8,0.25,0.26,3.29,0.38,9.3
white,5,6.6,0.58,0.3,3.24,0.38,9
white,5,7,0.29,0.54,3.05,0.61,9.5
white,6,6.6,0.19,0.41,3.14,0.57,9.8
white,6,6.7,0.2,0.41,3.14,0.58,9.8
white,5,7.7,0.26,0.4,2.89,0.5,10.6
white,4,6.8,0.32,0.34,3.05,0.47,10.6
white,7,7,0.3,0.49,3.26,0.68,12.4
white,8,7,0.24,0.36,3.19,0.38,12.6
white,8,6.1,0.31,0.58,3.3,0.6,12.3
white,4,6.8,0.44,0.37,3.08,0.65,10.5
white,5,6.7,0.34,0.3,3.19,0.49,9.3
white,5,7.1,0.35,0.24,3.12,0.49,8.8
white,5,7.3,0.32,0.25,3.08,0.47,8.8
white,6,6.5,0.28,0.33,3.22,0.51,9.7
white,7,7.2,0.23,0.39,2.98,0.48,9
white,7,7.2,0.23,0.39,2.98,0.48,9
white,7,7.2,0.23,0.39,2.98,0.48,9
white,7,7.2,0.23,0.39,2.98,0.48,9
white,6,5.9,0.15,0.31,3.52,0.46,10.5
white,5,7.4,0.28,0.42,2.96,0.44,9.1
white,7,6.2,0.28,0.22,3.44,0.64,9.8
white,3,9.1,0.59,0.38,3.23,0.38,8.5
white,6,6.3,0.33,0.27,3.37,0.54,9.4
white,5,8.3,0.39,0.7,3.09,0.57,9.4
white,7,7.2,0.19,0.46,3.19,0.6,11.2
white,6,7.5,0.17,0.44,3.17,0.45,10
white,6,6.7,0.17,0.5,3.15,0.45,10.3
white,6,6.1,0.41,0,3.27,0.67,10.8
white,6,8.3,0.2,0.35,3.13,0.38,10.5
white,6,6.1,0.41,0,3.27,0.67,10.8
white,6,6,0.29,0.21,3.32,0.43,11.1
white,6,7.3,0.41,0.24,3.2,0.41,9.9
white,6,7.3,0.41,0.24,3.2,0.41,9.9
white,5,7.2,0.43,0.24,3.2,0.41,9.9
white,6,7.3,0.4,0.24,3.2,0.41,9.9
white,7,6.2,0.33,0.27,3.2,0.42,10.4
white,6,6.2,0.31,0.26,3.21,0.41,10.4
white,7,6.1,0.36,0.27,3.4,0.71,11.5
white,8,5,0.55,0.14,3.53,0.51,12.5
white,6,7.8,0.25,0.41,3.36,0.45,10
white,6,5.7,0.36,0.21,3.29,0.63,10
white,5,5.8,0.34,0.21,3.29,0.62,10
white,6,6.8,0.28,0.6,3.09,0.44,9.1
white,6,6.8,0.25,0.34,3.21,0.38,10.6
white,5,6.6,0.24,0.35,3.19,0.37,10.5
white,7,5.9,0.3,0.47,3.52,0.43,11.5
white,6,6.1,0.125,0.25,3.54,0.59,10.1
white,7,6,0.1,0.24,3.61,0.61,10.3
white,5,6.6,0.24,0.35,3.19,0.37,10.5
white,6,6.8,0.25,0.34,3.21,0.38,10.6
white,6,6.8,0.28,0.44,3.16,0.36,10.4
white,5,8.3,0.41,0.51,3.02,0.55,11.4
white,5,7.5,0.27,0.31,3.18,0.59,10.5
white,6,7.9,0.26,0.41,2.96,0.6,10
white,6,6.4,0.34,0.23,3.19,0.65,10
white,6,6.5,0.28,0.35,3.23,0.5,9.6
white,5,7.2,0.21,0.41,3.17,0.51,10.4
white,8,6.4,0.32,0.35,3.36,0.6,12.5
white,5,6.8,0.24,0.34,3.2,0.39,10.6
white,6,6.3,0.23,0.3,3.28,0.4,11.8
white,5,6.5,0.28,0.34,3.11,0.44,9.8
white,5,5.6,0.26,0.26,3.25,0.38,10.8
white,6,6.3,0.23,0.3,3.28,0.4,11.8
white,6,6.3,0.23,0.33,3.32,0.42,11.2
white,6,5.8,0.27,0.27,3.28,0.42,9.3
white,5,5.9,0.26,0.4,3.45,0.53,10.4
white,7,6.6,0.18,0.35,3.43,0.85,10.2
white,7,7.4,0.2,0.43,3.19,0.55,9
white,6,8,0.24,0.36,3.2,0.54,10
white,6,6.4,0.26,0.42,3.18,0.47,9.1
white,5,5.4,0.31,0.47,3.29,0.76,10
white,6,5.4,0.29,0.47,3.29,0.75,10
white,6,7.1,0.145,0.33,3.28,0.4,9.6
white,7,5.6,0.34,0.1,3.36,0.51,11.2
white,6,6.7,0.19,0.41,3.2,0.44,8.8
white,6,7.8,0.18,0.46,3.15,0.5,10
white,5,7.6,0.17,0.45,3.15,0.47,10
white,7,6.3,0.12,0.36,3.27,0.74,11.4
white,7,7.3,0.33,0.4,3.03,0.3,11.9
white,6,5.5,0.335,0.3,3.14,0.51,9.6
white,7,7.3,0.33,0.4,3.03,0.3,11.9
white,6,5.8,0.4,0.42,3.25,0.57,9.6
white,6,7.3,0.22,0.37,2.89,0.38,9
white,6,7.3,0.22,0.37,2.89,0.38,9
white,6,6.1,0.36,0.33,3.15,0.78,9.5
white,6,10,0.2,0.39,3,0.42,10.4
white,6,6.9,0.24,0.34,3.2,0.59,10.6
white,6,6.4,0.24,0.32,3.28,0.5,10.2
white,5,7.1,0.365,0.14,3.15,0.43,8.9
white,6,6.8,0.15,0.3,3.4,0.39,9.7
white,6,7.3,0.22,0.37,2.89,0.38,9
white,7,6.8,0.16,0.4,3.49,0.42,11.4
white,7,6,0.26,0.32,3.4,0.71,12.3
white,6,6,0.18,0.27,3.49,0.62,10.8
white,6,6.9,0.33,0.21,3.12,0.45,9.4
white,6,7.7,0.29,0.48,3.17,0.64,10.6
white,5,7.1,0.39,0.35,3.17,0.29,11.6
white,6,6.9,0.33,0.21,3.12,0.45,9.4
white,6,7.7,0.29,0.48,3.17,0.64,10.6
white,5,6.6,0.905,0.19,3.34,0.56,10
white,6,7.2,0.27,0.27,3.1,0.51,9.2
white,7,5.1,0.33,0.22,3.51,0.38,12.5
white,7,5.1,0.33,0.22,3.51,0.38,12.5
white,7,6.4,0.31,0.28,3.32,0.51,10.4
white,7,7.3,0.2,0.44,3.15,0.46,10
white,6,5.7,0.32,0.5,3.22,0.64,10
white,7,6.4,0.31,0.28,3.32,0.51,10.4
white,7,7.3,0.2,0.44,3.15,0.46,10
white,6,7.2,0.28,0.26,3.1,0.52,9
white,6,7.5,0.35,0.28,3.12,0.53,9.2
white,6,7.2,0.27,0.27,3.1,0.51,9.2
white,7,6,0.36,0.39,3.38,0.39,11.3
white,7,5.1,0.33,0.22,3.51,0.38,12.5
white,7,5,0.17,0.56,3.48,0.39,10.8
white,5,6.3,0.39,0.35,3.12,0.66,10.1
white,6,6.7,0.21,0.32,3.39,0.46,9.7
white,7,7,0.3,0.38,3.18,0.61,9.3
white,7,7,0.3,0.38,3.18,0.61,9.3
white,5,6.5,0.36,0.32,3.1,0.46,10.6
white,6,6.1,0.55,0.15,3.36,0.47,10.2
white,6,7.3,0.24,0.43,3.08,0.56,12.2
white,5,6.8,0.37,0.51,3.19,0.44,8.8
white,5,6.8,0.27,0.12,3.18,0.41,10
white,5,8.2,0.28,0.42,3.09,0.39,11.4
white,6,6.3,0.2,0.4,3.46,0.5,11.4
white,5,5.9,0.26,0.27,3.35,0.44,9.4
white,6,6.4,0.19,0.42,3.3,0.41,11.7
white,6,6.3,0.2,0.4,3.46,0.5,11.4
white,5,6.8,0.37,0.51,3.19,0.44,8.8
white,5,6.1,0.35,0.07,3.23,0.52,9.2
white,5,7.1,0.27,0.31,3.07,0.56,8.7
white,6,6.8,0.22,0.31,3.24,0.66,12.6
white,5,6.8,0.27,0.12,3.18,0.41,10
white,7,5.8,0.28,0.34,3.39,0.39,12.8
white,5,6.9,0.49,0.24,3.17,0.51,9.4
white,6,6.3,0.14,0.39,3.26,0.53,10.3
white,5,8.2,0.28,0.42,3.09,0.39,11.4
white,6,7.2,0.25,0.39,2.97,0.47,9
white,6,7.3,0.28,0.36,3.3,0.79,9.6
white,5,7.2,0.19,0.39,3.16,0.5,10.5
white,5,7.2,0.19,0.39,3.16,0.5,10.5
white,6,7.2,0.25,0.39,2.97,0.47,9
white,6,7.3,0.28,0.36,3.3,0.79,9.6
white,6,7.4,0.21,0.27,3.19,0.33,9.8
white,5,6.8,0.26,0.22,3.1,0.47,9
white,6,7.4,0.21,0.27,3.19,0.33,9.8
white,6,7.4,0.31,0.28,3.31,0.56,10.5
white,7,7,0.22,0.31,3.16,0.37,12.7
white,6,7,0.21,0.28,3.25,0.54,10.4
white,6,7,0.21,0.28,3.25,0.54,10.4
white,6,7,0.21,0.28,3.25,0.54,10.4
white,7,6.9,0.23,0.38,3.34,0.52,10.5
white,6,7,0.21,0.28,3.25,0.54,10.4
white,6,7,0.21,0.28,3.25,0.54,10.4
white,5,6.8,0.29,0.5,3.09,0.45,9.4
white,5,7.8,0.21,0.27,3.06,0.46,9.1
white,5,7.1,0.31,0.47,3.1,0.49,9.3
white,5,6.8,0.29,0.5,3.09,0.45,9.4
white,5,6.4,0.34,0.1,3.21,0.38,9.8
white,7,7.4,0.155,0.34,3.18,0.61,9.9
white,4,7.2,0.55,0.09,3.07,0.57,9.2
white,8,7,0.23,0.36,3.35,0.47,12.1
white,7,6.9,0.2,0.37,3.38,0.49,12.2
white,5,6.1,0.28,0.32,3.27,0.6,9.8
white,8,6.6,0.16,0.32,3.35,0.64,12.4
white,7,7.4,0.155,0.34,3.18,0.61,9.9
white,5,6.2,0.35,0.04,3.26,0.54,9.2
white,7,6.7,0.22,0.37,3.29,0.59,11.6
white,6,6.1,0.38,0.2,3.3,0.69,10.4
white,8,6,0.25,0.28,3.43,0.65,12.9
white,6,6.6,0.52,0.44,3.26,0.54,9.3
white,6,6.9,0.24,0.36,3.2,0.33,11
white,3,7.1,0.32,0.32,3.24,0.4,11.5
white,5,5.8,0.28,0.27,3.53,0.42,12.4
white,6,6.5,0.41,0.24,3.44,0.53,9.8
white,6,6.5,0.41,0.24,3.44,0.53,9.8
white,7,6.4,0.28,0.29,3.48,0.56,10.5
white,5,7.2,0.6,0.2,3.03,0.54,9.1
white,5,6.1,0.2,0.25,3.24,0.44,10.1
white,7,5.9,0.46,0.14,3.46,0.51,10.6
white,7,6,0.27,0.27,3.41,0.51,10.5
white,7,6.4,0.28,0.29,3.48,0.56,10.5
white,6,6.4,0.41,0.24,3.44,0.53,9.8
white,7,6.3,0.23,0.31,3.3,0.4,12.9
white,5,7.1,0.21,0.27,2.95,0.52,9.5
white,6,6,0.37,0.32,3.29,0.72,9.8
white,5,6.1,0.43,0.35,3.37,0.5,8.5
white,5,7.1,0.21,0.27,2.95,0.52,9.5
white,5,7,0.25,0.29,3.22,0.45,9.3
white,5,5.9,0.25,0.19,3.35,0.38,9.5
white,6,6.8,0.32,0.21,3.17,0.39,9.4
white,5,7.2,0.39,0.62,3.16,0.5,8.7
white,5,6.3,0.21,0.58,2.95,0.46,8.9
white,6,7,0.14,0.32,3.22,0.43,9.4
white,6,6.8,0.32,0.21,3.17,0.39,9.4
white,5,7.2,0.39,0.62,3.16,0.5,8.7
white,5,7.2,0.29,0.53,3.09,0.52,9.6
white,6,8.6,0.37,0.7,3,0.73,9.3
white,5,6.5,0.38,0.34,3.14,0.76,10
white,6,6.6,0.24,0.29,3.25,0.45,12.5
white,7,7,0.17,0.31,3.36,0.48,9.6
white,6,5.5,0.16,0.22,3.24,0.36,9.4
white,5,7,0.24,0.51,3.03,0.61,9.5
white,7,7.4,0.28,0.36,2.99,0.39,12.4
white,6,7,0.22,0.28,3.11,0.55,10.5
white,6,7.1,0.55,0.13,2.97,0.58,9.2
white,6,6.3,0.22,0.33,3.32,0.56,10.4
white,5,6.7,0.47,0.34,3.22,0.6,9.2
white,6,5.9,0.36,0.41,3.33,0.51,10.6
white,5,5.8,0.25,0.24,3.34,0.42,9.5
white,5,6.7,0.47,0.34,3.22,0.6,9.2
white,5,6.2,0.37,0.3,3.29,0.58,9.6
white,6,6.2,0.18,0.38,3.47,0.54,9.7
white,6,6,0.16,0.37,3.46,0.51,9.7
white,6,6.6,0.34,0.28,3.1,0.42,10.7
white,6,7.4,0.29,0.29,3.34,0.68,10.5
white,6,7.4,0.26,0.31,3.13,0.45,8.9
white,6,7,0.28,0.36,3.09,0.46,12.1
white,7,7.1,0.23,0.39,3.25,0.4,12.7
white,6,7.8,0.19,0.26,3.18,0.46,9.9
white,6,6.3,0.19,0.28,3.2,0.64,11.4
white,6,6.8,0.2,0.38,3.37,0.58,10.7
white,6,5.7,0.44,0.13,3.33,0.48,12.5
white,4,7.2,0.4,0.62,3.08,0.49,8.6
white,6,6.8,0.23,0.32,3.29,0.54,12.5
white,5,5.7,0.335,0.34,3.27,0.66,10
white,4,7.2,0.4,0.62,3.08,0.49,8.6
white,6,7.2,0.28,0.54,3.08,0.49,9.5
white,6,6.8,0.19,0.58,3.12,0.48,9.6
white,6,6.4,0.3,0.3,3.2,0.62,9.9
white,5,6.5,0.3,0.29,3.19,0.62,9.9
white,6,7.8,0.18,0.31,3.06,0.53,8.9
white,6,7.8,0.18,0.31,3.06,0.53,8.9
